name,cuisine,price,link,main_cuisine,rating,cost_for_two
Punjabi Rasoi,"North Indian, Chinese, Beverages, Street Food",300,https://www.zomato.com/gwalior/punjabi-rasoi-city-center/info,North Indian,4.3,₹300 for two people (approx.)
Chicken Station,North Indian,400,https://www.zomato.com/chicken-station-food-truck/info,North Indian,3.9,₹400 for two people (approx.)
Hype Air Bar & Kitchen,"Bar Food, North Indian, Mughlai, Seafood, Kebab, Chinese, Fast Food",,https://www.zomato.com/gwalior/hype-air-bar-kitchen-city-center/info,Bar Food,-,"₹1,100 for two people (approx.) with alcohol"
Radha Ki Rasoi,"North Indian, Street Food, Burger, South Indian, Chinese, Beverages",400,https://www.zomato.com/gwalior/radha-ki-rasoi-city-center/info,North Indian,4.3,₹400 for two people (approx.)
Parth Juice Cafe Centre,"Beverages, Pizza, Sandwich, Chinese, Fast Food, Ice Cream, Desserts, Burger",300,https://www.zomato.com/gwalior/parth-juice-cafe-centre-morar/info,Beverages,4,₹300 for two people (approx.)
Twisted Toppings Pizza,"Pizza, Burger, Sandwich",250,https://www.zomato.com/gwalior/twisted-toppings-pizza-deen-dayal-nagar/info,Pizza,4.1,₹250 for two people (approx.)
Nainital's Testie Basket,"Fast Food, Biryani, Ice Cream",200,https://www.zomato.com/gwalior/nainitals-testie-basket-thatipur/info,Fast Food,3.4,₹200 for two people (approx.)
Vadilal Hangout,"Ice Cream, Desserts, Shake",200,https://www.zomato.com/gwalior/vadilal-hangout-birla-nagar/info,Ice Cream,3.2,₹200 for two people (approx.)
Khana Khajana Family Restaurant,"North Indian, Chinese, Mughlai, Fast Food",550,https://www.zomato.com/gwalior/khana-khajana-family-restaurant-lashkar/info,North Indian,3.8,₹550 for two people (approx.)
The Star Roof Cafe,"Fast Food, Pizza, Sandwich, Street Food, Chinese, Beverages, Shake",400,https://www.zomato.com/gwalior/the-star-roof-cafe-city-center/info,Fast Food,3.2,₹400 for two people (approx.)
Boxo Burger,"Burger, Pizza, Sandwich, Fast Food, Beverages",400,https://www.zomato.com/gwalior/boxo-burger-city-center/info,Burger,3.8,₹400 for two people (approx.)
Hotel Sai Kripa,"North Indian, Chinese, South Indian, Desserts, Beverages",,https://www.zomato.com/gwalior/hotel-sai-kripa-deen-dayal-nagar/info,North Indian,-,"₹1,000 for two people (approx.)"
Burger Budds,"Burger, Wraps, Sandwich, Fast Food, Momos, Street Food, Shake, Beverages",200,https://www.zomato.com/gwalior/burger-budds-birla-nagar/info,Burger,4.1,₹200 for two people (approx.)
Cosmo Cafe,"Pizza, Chinese, North Indian, Fast Food, Shake, Beverages",600,https://www.zomato.com/gwalior/cosmo-cafe-city-center/info,Pizza,-,₹600 for two people (approx.)
WOW! China,"Chinese, Asian, Fast Food, Beverages, Snacks",300,https://www.zomato.com/gwalior/wow-china-city-center/info,Chinese,3.7,₹300 for two people (approx.)
Ashoka Family Restaurant,North Indian,300,https://www.zomato.com/gwalior/ashoka-family-restaurant-thatipur/info,North Indian,4,₹300 for two people (approx.)
Burger Bytes,"Burger, Wraps, Pizza, Sandwich, Fast Food, Momos, Street Food, Shake",300,https://www.zomato.com/gwalior/burger-bytes-naya-bazaar/info,Burger,-,₹300 for two people (approx.)
Punjabi Food Factory,"North Indian, Rolls, Biryani",400,https://www.zomato.com/gwalior/punjabi-food-factory-lashkar/info,North Indian,3.8,₹400 for two people (approx.)
Hotel Sudarshan,"North Indian, Chinese, South Indian, Fast Food, Mughlai, Biryani, Desserts",550,https://www.zomato.com/gwalior/hotel-sudarshan-lashkar/info,North Indian,4.5,₹550 for two people (approx.)
Food Mafia,"Chinese, Fast Food, Rolls, Pizza, Sandwich, Shake, Beverages",400,https://www.zomato.com/gwalior/food-mafia-lashkar/info,Chinese,3.8,₹400 for two people (approx.)
Lub Lub - World Of Shawarmas,"Shawarma, Lebanese, Mediterranean, Burger",550,https://www.zomato.com/gwalior/lub-lub-world-of-shawarmas-city-center/info,Shawarma,3.8,₹550 for two people (approx.)
Bapu Di Rasoi,"North Indian, Chinese, Fast Food, Desserts, Beverages",400,https://www.zomato.com/gwalior/bapu-di-rasoi-2-city-center/info,North Indian,4.1,₹400 for two people (approx.)
Basil & Bites Woodfired Pizzeria,"Pizza, Italian",400,https://www.zomato.com/gwalior/basil-bites-woodfired-pizzeria-city-center/info,Pizza,-,₹400 for two people (approx.)
Anna Masala Dosa,"South Indian, Fast Food",200,https://www.zomato.com/gwalior/anna-masala-dosa-thatipur/info,South Indian,3.9,₹200 for two people (approx.)
Jiwaji Club - The Club's Kitchen,"Chinese, Fast Food, Street Food, North Indian, Mughlai, Beverages",400,https://www.zomato.com/gwalior/jiwaji-club-the-clubs-kitchen-lashkar/info,Chinese,3.7,₹400 for two people (approx.)
The Ved Mantra,"North Indian, Continental, Fast Food",900,https://www.zomato.com/gwalior/the-ved-mantra-lashkar/info,North Indian,3.6,₹900 for two people (approx.)
Rolls Mania,"Rolls, North Indian, Fast Food, Street Food, Beverages",400,https://www.zomato.com/gwalior/rolls-mania-city-center/info,Rolls,3.8,₹400 for two people (approx.)
Saapadam,"South Indian, Street Food, Beverages",250,https://www.zomato.com/gwalior/saapadam-city-center/info,South Indian,3.1,₹250 for two people (approx.)
MVFC - Shudh Shakahari Bhojan,North Indian,300,https://www.zomato.com/gwalior/mvfc-shudh-shakahari-bhojan-shinde-ki-chhawani/info,North Indian,3,₹300 for two people (approx.)
Bawarchi Club,"Fast Food, Burger, Sandwich",250,https://www.zomato.com/gwalior/bawarchi-club-deen-dayal-nagar/info,Fast Food,3.5,₹250 for two people (approx.)
Chef Direct,"Coffee, Cafe, Chinese, Fast Food, Pizza, Sandwich, Ice Cream, Beverages",350,https://www.zomato.com/gwalior/chef-direct-morar/info,Coffee,4.2,₹350 for two people (approx.)
Rohit Bakers,"Bakery, Desserts",200,https://www.zomato.com/gwalior/rohit-bakers-naya-bazaar/info,Bakery,3.9,₹200 for two people (approx.)
Pepper Street,"Chinese, North Indian, Mughlai, Pizza, Burger, Sandwich, Desserts, Beverages",650,https://www.zomato.com/gwalior/pepper-street-gulmohar-city/info,Chinese,4,₹650 for two people (approx.)
Punjabi Dhaba,North Indian,300,https://www.zomato.com/gwalior/punjabi-dhaba-lashkar/info,North Indian,4,₹300 for two people (approx.)
Teagather Grand,"Fast Food, North Indian, Pizza, Beverages",450,https://www.zomato.com/gwalior/teagather-grand-model-town/info,Fast Food,2.4,₹450 for two people (approx.)
F For Fries,Fast Food,250,https://www.zomato.com/gwalior/f-for-fries-birla-nagar/info,Fast Food,4,₹250 for two people (approx.)
Dairyman's Natural Ice Cream,"Ice Cream, Desserts, Fast Food, Bakery, Beverages",200,https://www.zomato.com/gwalior/dairymans-natural-ice-cream-lashkar/info,Ice Cream,4.2,₹200 for two people (approx.)
Dosa Corner,"South Indian, Fast Food, North Indian, Chinese, Street Food, Beverages, Sichuan",400,https://www.zomato.com/gwalior/dosa-corner-lashkar/info,South Indian,4.2,₹400 for two people (approx.)
Rakesh Juice & Shakes Parlour,"Beverages, Ice Cream, Desserts",200,https://www.zomato.com/gwalior/rakesh-juice-shakes-parlour-lashkar/info,Beverages,3.8,₹200 for two people (approx.)
Chhappan Bhog,"Mithai, Desserts",400,https://www.zomato.com/gwalior/chhappan-bhog-lashkar/info,Mithai,3.7,₹400 for two people (approx.)
Sita Manor Restaurant,"North Indian, Chinese, Sandwich, Fast Food, Desserts, Beverages",800,https://www.zomato.com/gwalior/sita-manor-restaurant-city-center/info,North Indian,4,₹800 for two people (approx.)
Aangan Restaurant,"Street Food, North Indian, Mithai, Chinese",400,https://www.zomato.com/gwalior/aangan-restaurant-prasad-nagar/info,Street Food,4.5,₹400 for two people (approx.)
Pandit's Rolls & Momos,"Momos, Fast Food, Rolls",100,https://www.zomato.com/gwalior/pandits-rolls-momos-lashkar/info,Momos,3.9,₹100 for two people (approx.)
Shivam Pav Bhaji And Pulav Centre,"South Indian, Chinese, Street Food, Fast Food",200,https://www.zomato.com/gwalior/shivam-pav-bhaji-and-pulav-centre-shinde-ki-chhawani/info,South Indian,3,₹200 for two people (approx.)
Sai Bhoj,"North Indian, Fast Food, Beverages",450,https://www.zomato.com/gwalior/sai-bhoj-city-center/info,North Indian,4.5,₹450 for two people (approx.)
Prabha International Hotel,"North Indian, Shake",700,https://www.zomato.com/gwalior/prabha-international-hotel-lashkar/info,North Indian,3.6,₹700 for two people (approx.)
The Bellevue,"North Indian, Chinese, South Indian, Continental",850,https://www.zomato.com/gwalior/the-bellevue-city-center/info,North Indian,3.9,₹850 for two people (approx.)
Hotel Royal Inn,"Fast Food, Chinese, North Indian, Mughlai, Desserts, Beverages",700,https://www.zomato.com/gwalior/hotel-royal-inn-city-center/info,Fast Food,3.9,₹700 for two people (approx.)
Kamakhya Restaurant,"North Indian, Chinese, Fast Food, Street Food, Desserts, Ice Cream, Beverages",500,https://www.zomato.com/gwalior/kamakhya-restaurant-morar/info,North Indian,3.5,₹500 for two people (approx.)
Food Station,"Fast Food, Pizza",150,https://www.zomato.com/gwalior/food-station-madhav-ganj/info,Fast Food,4.1,₹150 for two people (approx.)
Hunger's Snacks,"Fast Food, Chinese, South Indian, Beverages, Pizza",300,https://www.zomato.com/gwalior/hungers-snacks-1-lashkar/info,Fast Food,3.1,₹300 for two people (approx.)
Chat On Chaat - The City Food Court,Street Food,200,https://www.zomato.com/gwalior/chat-on-chaat-the-city-food-court-lashkar/info,Street Food,3.1,₹200 for two people (approx.)
Atithi Inn,"North Indian, Chinese, Fast Food, Beverages, Desserts",600,https://www.zomato.com/gwalior/atithi-inn-shinde-ki-chhawani/info,North Indian,3.7,₹600 for two people (approx.)
Lovely Fruit Shake & Icecream,"Beverages, Ice Cream, Shake",200,https://www.zomato.com/gwalior/lovely-fruit-shake-icecream-thatipur/info,Beverages,3.5,₹200 for two people (approx.)
Tealogy,"Sandwich, Fast Food, Street Food, Beverages",200,https://www.zomato.com/gwalior/tealogy-city-center/info,Sandwich,4.4,₹200 for two people (approx.)
Indian Rasoi,"North Indian, South Indian, Chinese, Fast Food, Beverages",300,https://www.zomato.com/gwalior/indian-rasoi-city-center/info,North Indian,3.7,₹300 for two people (approx.)
Adhura Engineer Food Lab,"South Indian, North Indian, Chinese, Fast Food, Street Food, Rolls, Shake",300,https://www.zomato.com/gwalior/adhura-engineer-food-lab-deen-dayal-nagar/info,South Indian,3.8,₹300 for two people (approx.)
The Road Food,"Chinese, Sandwich, Rolls, Momos, Fast Food, Street Food, Beverages",500,https://www.zomato.com/the-road-food-truck-food-truck/info,Chinese,3.8,₹500 for two people (approx.)
Paarivar Cafeteria & Bakery,"Fast Food, Street Food, Beverages",250,https://www.zomato.com/gwalior/paarivar-cafeteria-bakery-naya-bazaar/info,Fast Food,4.4,₹250 for two people (approx.)
Aggarwal Puri Bhandar,North Indian,150,https://www.zomato.com/gwalior/aggarwal-puri-bhandar-shinde-ki-chhawani/info,North Indian,3.8,₹150 for two people (approx.)
Mom's Cafe,"Cafe, North Indian, Fast Food, Sandwich, Beverages, Coffee, Chinese, Shake",350,https://www.zomato.com/gwalior/moms-cafe-1-city-center/info,Cafe,4.1,₹350 for two people (approx.)
Shri Krishna Family Restaurant,North Indian,250,https://www.zomato.com/gwalior/shri-krishna-family-restaurant-shinde-ki-chhawani/info,North Indian,3.7,₹250 for two people (approx.)
Kamal Nayan The Barbie Themed Cafe & Restaurant,"Cafe, Chinese, Street Food, Fast Food, Pizza, Coffee, Shake, Beverages",300,https://www.zomato.com/gwalior/kamal-nayan-the-barbie-themed-cafe-restaurant-deen-dayal-nagar/info,Cafe,-,₹300 for two people (approx.)
Traffic Jam Cafe,"Fast Food, Chinese, Sandwich, Pizza, Beverages",350,https://www.zomato.com/gwalior/traffic-jam-cafe-vinay-nagar/info,Fast Food,3.7,₹350 for two people (approx.)
Chaudhary Ka Dhaba (C.K.D),"North Indian, Beverages",300,https://www.zomato.com/gwalior/chaudhary-ka-dhaba-c-k-d-thatipur/info,North Indian,3.9,₹300 for two people (approx.)
7 Square,"Burger, Pizza, Fast Food, Street Food, Chinese, North Indian, Desserts, Beverages",300,https://www.zomato.com/gwalior/7-square-thatipur/info,Burger,3.7,₹300 for two people (approx.)
Khan Saab,North Indian,300,https://www.zomato.com/gwalior/khan-saab-city-center/info,North Indian,3.2,₹300 for two people (approx.)
Shere Hind Hotel,North Indian,300,https://www.zomato.com/gwalior/shere-hind-hotel-ghosipura/info,North Indian,4.6,₹300 for two people (approx.)
Chatar Patar,"Street Food, Beverages",200,https://www.zomato.com/gwalior/chatar-patar-city-center/info,Street Food,3.8,₹200 for two people (approx.)
Shan-Shaukat,"Mithai, Street Food",150,https://www.zomato.com/gwalior/shan-shaukat-shinde-ki-chhawani/info,Mithai,4,₹150 for two people (approx.)
Mood Alter Punjabi Tadka,Pizza,250,https://www.zomato.com/gwalior/mood-alter-punjabi-tadka-madhav-ganj/info,Pizza,4.2,₹250 for two people (approx.)
Siddhi Vinayak Restaurant,North Indian,350,https://www.zomato.com/gwalior/siddhi-vinayak-restaurant-prasad-nagar/info,North Indian,4.3,₹350 for two people (approx.)
Anand Bhoj,"North Indian, Fast Food, Beverages",500,https://www.zomato.com/gwalior/anand-bhoj-thatipur/info,North Indian,3.1,₹500 for two people (approx.)
Hotel Jageshwari,"North Indian, Biryani, Mughlai, Chinese, Salad, Ice Cream, Beverages",,https://www.zomato.com/gwalior/hotel-jageshwari-deen-dayal-nagar/info,North Indian,-,"₹1,000 for two people (approx.)"
Brij Bhog Sweets & Namkeen,"Mithai, Desserts",300,https://www.zomato.com/gwalior/brij-bhog-sweets-namkeen-naya-bazaar/info,Mithai,3.6,₹300 for two people (approx.)
Madan Namkeen & Gajak Bhandar,"Mithai, Street Food",150,https://www.zomato.com/gwalior/madan-namkeen-gajak-bhandar-ghosipura/info,Mithai,3.9,₹150 for two people (approx.)
Madhuram Fast Food Corner,North Indian,250,https://www.zomato.com/gwalior/madhuram-fast-food-corner-vinay-nagar/info,North Indian,3.9,₹250 for two people (approx.)
Pandit Zayka,"North Indian, South Indian, Chinese, Fast Food",350,https://www.zomato.com/gwalior/pandit-zayka-morar/info,North Indian,3.9,₹350 for two people (approx.)
Rangla Punjab,"North Indian, Fast Food, Beverages",400,https://www.zomato.com/gwalior/rangla-punjab-city-center/info,North Indian,3.3,₹400 for two people (approx.)
TDR Club & Lounge,"North Indian, Chinese, Burger, Pasta, Fast Food, Desserts, Shake, Beverages",,https://www.zomato.com/gwalior/tdr-club-lounge-1-city-center/info,North Indian,-,"₹1,000 for two people (approx.) Without alcohol"
Pandit Sweets,"Mithai, Street Food, Desserts, Beverages",300,https://www.zomato.com/gwalior/pandit-sweets-shinde-ki-chhawani/info,Mithai,4.1,₹300 for two people (approx.)
Phalsafa - Cafe Fruit Bar,"Coffee, Beverages, Desserts, Italian, Continental",500,https://www.zomato.com/gwalior/phalsafa-cafe-fruit-bar-city-center/info,Coffee,4.1,₹500 for two people (approx.)
The Hope Cafe,"Chinese, South Indian, Fast Food, Sandwich, North Indian, Desserts, Beverages",400,https://www.zomato.com/gwalior/the-hope-cafe-lashkar/info,Chinese,3.9,₹400 for two people (approx.)
Punjabi Zayka,"North Indian, Chinese, Fast Food",300,https://www.zomato.com/gwalior/punjabi-zayka-morar/info,North Indian,3.9,₹300 for two people (approx.)
Chaa-Hut,"Fast Food, Beverages, Sandwich, Tea",200,https://www.zomato.com/gwalior/chaa-hut-deen-dayal-nagar/info,Fast Food,3.7,₹200 for two people (approx.)
The Sigdi Food Hub,"Fast Food, Pizza, Sandwich, Chinese, Street Food",400,https://www.zomato.com/gwalior/the-sigdi-food-hub-1-lashkar/info,Fast Food,4.1,₹400 for two people (approx.)
Khatirdari,"North Indian, Chinese, Mughlai, Biryani, Kebab, Momos",700,https://www.zomato.com/gwalior/khatirdari-lashkar/info,North Indian,3.8,₹700 for two people (approx.)
The Vinayak,"North Indian, Chinese, Fast Food, Desserts",650,https://www.zomato.com/gwalior/the-vinayak-lashkar/info,North Indian,3.7,₹650 for two people (approx.)
Regenta Place,"North Indian, Mughlai, Biryani, Salad, Chinese",,https://www.zomato.com/gwalior/regenta-place-anand-nagar/info,North Indian,-,"₹1,700 for two people (approx.)"
Litti Chokha House,"Bihari, Biryani, North Indian",300,https://www.zomato.com/gwalior/litti-chokha-house-1-deen-dayal-nagar/info,Bihari,3.2,₹300 for two people (approx.)
Pakiza Hotel,"North Indian, Mughlai",300,https://www.zomato.com/gwalior/pakiza-hotel-lashkar/info,North Indian,3.7,₹300 for two people (approx.)
Shri Jodhpur Mishthan Bhandar,"Mithai, Desserts",300,https://www.zomato.com/gwalior/shri-jodhpur-mishthan-bhandar-thatipur/info,Mithai,-,₹300 for two people (approx.)
Food Junction,"North Indian, Chinese, Biryani",450,https://www.zomato.com/gwalior/food-junction-deen-dayal-nagar/info,North Indian,4,₹450 for two people (approx.)
Hotel Dessert Palm,"North Indian, Chinese, Mughlai, Beverages, Desserts, Kebab",900,https://www.zomato.com/gwalior/hotel-dessert-palm-city-center/info,North Indian,4.2,₹900 for two people (approx.)
Khilona Atithi Bhoj,North Indian,400,https://www.zomato.com/gwalior/khilona-atithi-bhoj-lashkar/info,North Indian,4,₹400 for two people (approx.)
Patel Family Restaurant,"North Indian, Chinese, Fast Food, Pizza, Desserts",250,https://www.zomato.com/gwalior/patel-family-restaurant-1-birla-nagar/info,North Indian,3.8,₹250 for two people (approx.)
IAG Food Court (IFC),"Pizza, Fast Food, North Indian, Sandwich",300,https://www.zomato.com/gwalior/iag-food-court-ifc-deen-dayal-nagar/info,Pizza,4,₹300 for two people (approx.)
Punjabi Darbar,"North Indian, Chinese",350,https://www.zomato.com/gwalior/punjabi-darbar-lashkar/info,North Indian,3.5,₹350 for two people (approx.)
Chawla Chicken,"North Indian, Mughlai, Seafood, Fast Food, Chinese",400,https://www.zomato.com/gwalior/chawla-chicken-morar/info,North Indian,3.7,₹400 for two people (approx.)
Dawat Family Restaurant,"North Indian, Chinese, Beverages",400,https://www.zomato.com/gwalior/dawat-family-restaurant-vinay-nagar/info,North Indian,3.7,₹400 for two people (approx.)
The Vedas,"North Indian, Chinese, Fast Food, Desserts, Beverages",900,https://www.zomato.com/gwalior/the-vedas-city-center/info,North Indian,3.2,₹900 for two people (approx.)
Chai Sutta Bar,"Tea, Coffee, Beverages, Burger, Pizza, Sandwich, Fast Food, Street Food",200,https://www.zomato.com/gwalior/chai-sutta-bar-city-center/info,Tea,2.7,₹200 for two people (approx.)
New Annapurna Bhojnalaya,North Indian,150,https://www.zomato.com/gwalior/new-annapurna-bhojnalaya-birla-nagar/info,North Indian,3.6,₹150 for two people (approx.)
Bhopat Nasir Seekh Kabab,"Mughlai, Kebab, Biryani, North Indian",500,https://www.zomato.com/gwalior/bhopat-nasir-seekh-kabab-city-center/info,Mughlai,4.2,₹500 for two people (approx.)
Burger Point,"Burger, Sandwich, Wraps, Fast Food, Shake, Beverages",350,https://www.zomato.com/gwalior/burger-point-thatipur/info,Burger,3.5,₹350 for two people (approx.)
Chawla Punjabi Junction,"North Indian, Mughlai, Biryani",400,https://www.zomato.com/gwalior/chawla-punjabi-junction-city-center/info,North Indian,3.3,₹400 for two people (approx.)
Jatashankar Nashta & Bhojanalya,North Indian,250,https://www.zomato.com/gwalior/jatashankar-nashta-bhojanalya-anand-nagar/info,North Indian,3.5,₹250 for two people (approx.)
Pandit Ji Paranthe Wale,"North Indian, Fast Food, Sandwich, Beverages",300,https://www.zomato.com/gwalior/pandit-ji-paranthe-wale-mahalgaon/info,North Indian,3.9,₹300 for two people (approx.)
Kalp Vriksha- Hotel Vivek Continental,"North Indian, South Indian, Continental, Chinese, Desserts, Beverages",700,https://www.zomato.com/gwalior/kalp-vriksha-hotel-vivek-continental-naya-bazaar/info,North Indian,4.2,₹700 for two people (approx.)
Punjabi Mirch Masala,"North Indian, Street Food",300,https://www.zomato.com/gwalior/punjabi-mirch-masala-naya-bazaar/info,North Indian,3.8,₹300 for two people (approx.)
The Cravings Cafe & Restro,"Cafe, North Indian, Chinese",400,https://www.zomato.com/gwalior/the-cravings-cafe-restro-morar/info,Cafe,3.3,₹400 for two people (approx.)
Ashoka Restaurant,North Indian,300,https://www.zomato.com/gwalior/ashoka-restaurant-lashkar/info,North Indian,4,₹300 for two people (approx.)
Alfa The Cafe,"Pizza, Burger, Sandwich, Pasta, Momos, Street Food, Beverages",250,https://www.zomato.com/gwalior/alfa-the-cafe-thatipur/info,Pizza,3.8,₹250 for two people (approx.)
Hide & Seek Cafe,"Chinese, North Indian, Pizza, Sandwich, Burger, Fast Food, Street Food, Shake",250,https://www.zomato.com/gwalior/hide-seek-cafe-shinde-ki-chhawani/info,Chinese,-,₹250 for two people (approx.)
Hotel Maharaja,"North Indian, Mughlai",500,https://www.zomato.com/gwalior/hotel-maharaja-madhav-ganj/info,North Indian,3.7,₹500 for two people (approx.)
P Punjabi Tadka,"Street Food, North Indian, Beverages, Chinese, Salad",400,https://www.zomato.com/gwalior/p-punjabi-tadka-city-center/info,Street Food,3.9,₹400 for two people (approx.)
Patiala Shahi,"Pizza, Fast Food, Desserts, Chinese, North Indian",400,https://www.zomato.com/gwalior/patiala-shahi-city-center/info,Pizza,3.5,₹400 for two people (approx.)
Yara The Buffet,North Indian,300,https://www.zomato.com/gwalior/yara-the-buffet-city-center/info,North Indian,3.5,₹300 for two people (approx.)
Shiv Shakti Bhojanalya,North Indian,200,https://www.zomato.com/gwalior/shiv-shakti-bhojanalya-morar/info,North Indian,3.3,₹200 for two people (approx.)
Eat Street,"North Indian, Fast Food, Chinese, South Indian",300,https://www.zomato.com/gwalior/eat-street-deen-dayal-nagar/info,North Indian,3.8,₹300 for two people (approx.)
Baba Bakers,Bakery,300,https://www.zomato.com/gwalior/baba-bakers-madhav-ganj/info,Bakery,3.8,₹300 for two people (approx.)
Gurukripa Restaurant And Paratha House,"North Indian, Fast Food, Street Food",300,https://www.zomato.com/gwalior/gurukripa-restaurant-and-paratha-house-city-center/info,North Indian,3.2,₹300 for two people (approx.)
Tandoori Chai,"Fast Food, Beverages",200,https://www.zomato.com/gwalior/tandoori-chai-city-center/info,Fast Food,3.7,₹200 for two people (approx.)
Spice N Handi,"North Indian, Mughlai, Kebab, Pizza, Fast Food, Biryani, Desserts",,https://www.zomato.com/gwalior/spice-n-handi-morar/info,North Indian,4,"₹1,000 for two people (approx.)"
Jain Dabeli Centre,Street Food,100,https://www.zomato.com/gwalior/jain-dabeli-centre-1-morar/info,Street Food,3.9,₹100 for two people (approx.)
Uzbekk,"Fast Food, Rolls, Burger, North Indian, Kebab",350,https://www.zomato.com/gwalior/uzbekk-madhav-ganj/info,Fast Food,3.9,₹350 for two people (approx.)
